,model,group,statistical parity,predictive parity,negative predictive parity,equal opportunity,predictive equality,overall accuracy equality,treatment equality
0,DecisionTreeClassifier,priv,0.2400656814449918,0.38850889192886456,0.8154710458081245,0.39943741209563993,0.19151670951156813,0.7129720853858785,0.31889550459654553
1,DecisionTreeClassifier,unpriv,0.22603815937149271,0.36643495531281034,0.8413573085846868,0.4028384279475983,0.18027691438259397,0.734006734006734,0.30188967746701295
2,RandomForestClassifier,priv,0.12873563218390804,0.625,0.8243497926875235,0.34458509142053445,0.06298200514138817,0.7986863711001642,0.09609486192173175
3,RandomForestClassifier,unpriv,0.11425364758698092,0.630648330058939,0.8492143943233654,0.35043668122270744,0.053122350946595086,0.8242424242424242,0.0817816360791279
4,SVC,priv,0.09425287356321839,0.686411149825784,0.813633067440174,0.2770745428973277,0.038560411311053984,0.8016420361247948,0.05333940163844238
5,SVC,unpriv,0.09652076318742986,0.686046511627907,0.8457142857142858,0.3220524017467249,0.03814636903079966,0.8303030303030303,0.05626743000356278
6,AdaBoostClassifier,priv,0.11494252873563218,0.6657142857142857,0.822634508348794,0.32770745428973275,0.05012853470437018,0.8045977011494253,0.07456357358746277
7,AdaBoostClassifier,unpriv,0.0962962962962963,0.6736596736596736,0.8442622950819673,0.3155021834061135,0.03955919751342187,0.8278338945005612,0.05779302220461632
8,KNeighborsClassifier,priv,0.13366174055829227,0.5208845208845209,0.810841546626232,0.2981715893108298,0.08354755784061697,0.7720853858784893,0.11904271267470674
9,KNeighborsClassifier,unpriv,0.11672278338945005,0.5807692307692308,0.8439644218551461,0.3296943231441048,0.061599321842328345,0.8132435465768799,0.09189735962145403
10,GaussianNB,priv,0.1980295566502463,0.5140961857379768,0.8357903357903358,0.4360056258790436,0.12553556126820908,0.7720853858784893,0.22258300264762257
11,GaussianNB,unpriv,0.1685746352413019,0.5286284953395473,0.8598812095032398,0.4334061135371179,0.10002825656965245,0.804040404040404,0.17654312720192994
12,XGBClassifier,priv,0.13628899835796388,0.6240963855421687,0.8281368821292776,0.36427566807313644,0.06683804627249357,0.8003284072249589,0.10513683827376753
13,XGBClassifier,unpriv,0.11784511784511785,0.6285714285714286,0.8508905852417303,0.36026200873362446,0.05510031082226618,0.8246913580246914,0.08612949609760379
